Compound ID,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L),SMILES,Mol,SpAbs_A,SpDiam_A,VR1_A,nAromAtom,nBridgehead,nHetero,nN,nO,nS,nF,nCl,nBr,ATS0Z,AATS0dv,AATS0Z,AATS0se,AATS0i,ATSC1dv,ATSC2dv,ATSC3dv,ATSC4dv,ATSC5dv,ATSC6dv,ATSC7dv,ATSC8dv,ATSC2d,ATSC3d,ATSC4d,ATSC5d,ATSC6d,ATSC7d,ATSC8d,ATSC1Z,ATSC2Z,ATSC3Z,ATSC4Z,ATSC5Z,ATSC6Z,ATSC7Z,ATSC8Z,ATSC1v,ATSC2v,ATSC3v,ATSC4v,ATSC5v,ATSC6v,ATSC7v,ATSC8v,ATSC1se,ATSC3se,ATSC4se,ATSC5se,ATSC6se,ATSC7se,ATSC8se,ATSC1p,ATSC1i,ATSC2i,ATSC3i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,AATSC2Z,AATSC0v,AATSC0i,GATS1c,GATS1Z,GATS1are,BCUTdv-1l,BCUTd-1h,BalabanJ,nBondsD,RNCS,RPCS,C1SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,Xch-7d,NsCH3,NdsCH,NsssCH,NaasC,NaaaC,NssNH,NaaN,NsssN,NddsN,NsOH,NssO,SdCH2,StCH,SsssCH,StsC,SdssC,SaasC,SssssC,SsNH2,SaaNH,StN,SdsN,SaasN,SaaO,SdsssP,SdS,SssS,SddssS,ETA_beta_ns_d,ETA_dBeta,nHBDon,IC0,IC1,CIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA10,SlogP_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState9,AMID_C,PBF,n5Ring,nHRing,n5HRing,nAHRing,n6AHRing,nFRing,nFHRing,nFARing,nRot,GhoseFilter
"1,1,1,2-Tetrachloroethane",-2.18,-2.794,ClCC(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97EEA0>,5.81862582235282,4.148626586103886,11.637366687675549,0,0,4,0,0,0,0,4,0,1230.0,2.8024691358024687,153.75,9.6025575,162.00771593701225,-2.908179012345678,-5.972222222222222,2.8587962962962954,0.0,0.0,0.0,0.0,0.0,-3.0,2.25,0.0,0.0,0.0,0.0,0.0,-18.0625,61.25,-237.9375,0.0,0.0,0.0,0.0,0.0,-7.930847344957391,84.3363617835726,-276.80162738559005,0.0,0.0,0.0,0.0,0.0,-0.106276,-0.673413,0.0,0.0,0.0,0.0,0.0,-1.7625303062505492e-05,-2.0684213973005523,-2.6252535160777466,1.6704963563315527,0.0,0.0,0.0,0.0,5.104166666666667,50.09902823674371,0.7557946392616867,1.7459883208656073,0.6854942233632862,0.5588235294117648,0.7661792371048486,4.017022705437666,3.168489872670569,0,183.3312176983839,0.0,0,0,2,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.276234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0,1.5,1.75,1.25,-2.790325882761411,0.0,0.0,0.0,11.600939890232516,34.802819670697545,0.0,0.0,5.880003444970339,0.0,0.0,3.792535935529771,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,-1.276234567901234,0.0,0.039351851851852,0.0,0.6412119706885838,0.6044439134609859,0,0,0,0,0,0,0,0,0,0
"1,1,1-Trichloroethane",-2.0,-2.232,CC(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97EE30>,4.0,4.0,7.999999999999998,0,0,3,0,0,0,0,3,0,942.0,2.351851851851852,117.75,8.932912375,164.10249396293085,-1.256944444444444,-5.935185185185187,1.145833333333333,0.0,0.0,0.0,0.0,0.0,-1.6875,1.265625,0.0,0.0,0.0,0.0,0.0,-5.0625,377.25,-570.9375,0.0,0.0,0.0,0.0,0.0,-24.259843270614297,394.7522544016687,-616.3882248731175,0.0,0.0,0.0,0.0,0.0,-0.0464941406249998,-1.707806109375,0.0,0.0,0.0,0.0,0.0,-0.0342074734943907,-2.301447908493142,-2.471709649870684,1.4061165663128925,0.0,0.0,0.0,0.0,31.4375,61.47395343551575,0.8417602480127335,2.2856385111616464,0.5509433962264151,0.5008498583569404,0.7684456142163838,4.0160633859300825,3.0237157840738176,0,196.81341596760905,0.0,0,0,2,0,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75,0,1.561278124459133,1.811278124459133,1.188721875540867,-2.1299107218088973,0.0,0.0,0.0,0.0,34.802819670697545,6.923737199690624,0.0,0.0,0.0,3.792535935529771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,-1.083333333333333,0.0,0.0,0.0,0.725,0.6804835755076256,0,0,0,0,0,0,0,0,0,0
"1,1,2,2-Tetrachloroethane",-1.74,-2.549,ClC(Cl)C(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97EF10>,6.0,3.999999999999999,11.530009778701592,0,0,4,0,0,0,0,4,0,1230.0,2.552469135802469,153.75,9.6025575,162.00771593701225,-3.4637345679012346,-5.021604938271604,3.4637345679012337,0.0,0.0,0.0,0.0,0.0,-3.0,2.25,0.0,0.0,0.0,0.0,0.0,-18.0625,-194.75,18.0625,0.0,0.0,0.0,0.0,0.0,-7.930847344957389,-200.3961129469748,7.930847344957392,0.0,0.0,0.0,0.0,0.0,-0.106276,0.106276,0.0,0.0,0.0,0.0,0.0,-1.762530306250506e-05,-2.0684213973005523,-3.023178557046747,2.0684213973005523,0.0,0.0,0.0,0.0,-16.229166666666668,50.09902823674371,0.7557946392616867,1.350436614809187,0.6854942233632862,0.5588235294117648,0.7656446736937806,3.111685950670918,2.993497243478473,0,244.794005762313,3.521400203279842,0,0,2,0,0,0,1.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,-1.3456790123456788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0,1.5,1.5,1.5,-2.433985882761411,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,0.0,9.67253938050011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454890085287226,0.6784487480088489,0,0,0,0,0,0,0,0,1,0
"1,1,2-Trichloroethane",-1.48,-1.961,ClCC(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97EF80>,5.226251859505506,3.695518130045147,8.629874180987342,0,0,3,0,0,0,0,3,0,942.0,1.851851851851852,117.75,8.932912375,164.10249396293085,-2.368055555555556,-4.033950617283951,2.3557098765432096,0.0,0.0,0.0,0.0,0.0,-1.6875,1.265625,0.0,0.0,0.0,0.0,0.0,-5.0625,-134.75,-58.9375,0.0,0.0,0.0,0.0,0.0,-24.2598432706143,-174.71269505942615,-46.92327541202255,0.0,0.0,0.0,0.0,0.0,-0.0464941406249998,-0.1484281093750001,0.0,0.0,0.0,0.0,0.0,-0.0342074734943907,-2.3014479084931416,-3.267559731808684,2.201966648250892,0.0,0.0,0.0,0.0,-11.229166666666666,61.47395343551575,0.8417602480127335,1.1119387352565813,0.5509433962264151,0.5008498583569406,0.7660906123802345,3.021852894878088,2.5395388613593908,0,178.62809423778015,0.5191245111966156,0,0,2,0,0,0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.4058641975308643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75,0,1.561278124459133,1.811278124459133,1.188721875540867,-2.147370721808897,0.0,0.0,0.0,34.802819670697545,0.0,0.0,0.0,5.880003444970339,4.836269690250055,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086419753086422,0.0,0.743838355587937,0.5528349947686892,0,0,0,0,0,0,0,0,1,0
"1,1,2-Trichlorotrifluoroethane",-3.04,-3.077,FC(F)(Cl)C(F)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97EFF0>,7.211102550927979,4.605551275463988,17.881697331994086,0,0,6,0,0,0,3,3,0,1182.0,22.60185185185185,147.75,12.413488375,208.59110939383748,-0.0069444444444445,-19.367283950617285,-9.672067901234568,0.0,0.0,0.0,0.0,0.0,-6.75,5.0625,0.0,0.0,0.0,0.0,0.0,-27.5625,-68.75,11.5625,0.0,0.0,0.0,0.0,0.0,-4.106651517907604,-47.277414469556845,-16.794288038265766,0.0,0.0,0.0,0.0,0.0,-0.5529781406249993,0.4840718906249993,0.0,0.0,0.0,0.0,0.0,-0.0511325156249998,-8.709500282189047,-21.536936907368737,3.747365349964051,0.0,0.0,0.0,0.0,-5.729166666666667,17.04458850643255,6.624767959898433,1.895075610235287,1.1504424778761062,1.0490443669237952,0.7706291197175476,4.111897079002005,4.020391543176799,0,124.36704759038544,0.0,0,0,2,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-7.912037037037036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,1.561278124459133,1.811278124459133,1.188721875540867,-2.664600442853576,0.0,0.0,13.17124514302446,0.0,23.20187978046503,11.600939890232516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,30.570216049382715,0.0,0.0,0.0,0.515625,0.6885238511618379,0,0,0,0,0,0,0,0,1,0
"1,1-Dichloroethane",-1.29,-1.576,CC(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97F060>,3.4641016151377544,3.4641016151377544,5.583629154612597,0,0,2,0,0,0,0,2,0,654.0,1.4012345679012346,81.75,8.26326725,166.19727198884948,-1.1489197530864197,-3.626543209876542,1.0995370370370368,0.0,0.0,0.0,0.0,0.0,-0.75,0.5625,0.0,0.0,0.0,0.0,0.0,-0.0625,85.25,-255.9375,0.0,0.0,0.0,0.0,0.0,-49.48672903160083,28.928519534714653,-235.2457456989466,0.0,0.0,0.0,0.0,0.0,-0.0110775624999998,-0.7686114375000002,0.0,0.0,0.0,0.0,0.0,-0.1399534287122499,-2.546909577215997,-3.2632377559649965,2.148984536246997,0.0,0.0,0.0,0.0,7.104166666666667,63.95098879895819,0.915290699233499,1.4834291298522682,0.5007320644216691,0.5336658354114713,0.767764316644941,3.018005899687904,2.3237900077244498,0,153.84610989450675,2.279175411937812,0,0,2,0,0,0,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1.5,1.75,1.25,-1.466564027736467,0.0,0.0,0.0,23.20187978046503,0.0,6.923737199690624,0.0,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.836269690250055,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.8720084679281462,0.5644541718892772,0,0,0,0,0,0,0,0,0,0
"1,1-Dichloroethylene",-1.64,-1.939,ClC(=C)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97F0D0>,3.4641016151377544,3.4641016151377544,5.583629154612597,0,0,2,0,0,0,0,2,0,652.0,3.5349794238683123,108.66666666666669,8.778201666666666,159.957145310383,-2.474622770919068,-5.79835390946502,2.425240054869685,0.0,0.0,0.0,0.0,0.0,-0.6666666666666667,0.4444444444444442,0.0,0.0,0.0,0.0,0.0,-4.0,122.0,-252.0,0.0,0.0,0.0,0.0,0.0,-19.168271226164396,113.61383052602709,-265.56420350438304,0.0,0.0,0.0,0.0,0.0,-0.036736111111111,-0.742952888888889,0.0,0.0,0.0,0.0,0.0,-0.0270281272054443,-1.8184279770809884,-2.528679445136997,1.4205029361119883,0.0,0.0,0.0,0.0,20.33333333333333,57.039548068173445,0.9755348287019988,1.8904130539739008,0.5447761194029851,0.5007552870090636,0.7712203436803488,3.0336137565055337,2.3237900077244498,1,209.37802576008747,12.657835331300328,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.08641975308642,0.0,0.0,0.0,0.1111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1.584962500721156,1.9182958340544896,0.6666666666666665,-1.4734632354264896,0.0,0.0,0.0,0.0,29.78081546406353,0.0,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,6.578935683598497,0.1111111111111116,0.0,0.0,0.0,0.8720084679281462,1.4535426476107453e-05,0,0,0,0,0,0,0,0,0,0
"1,1-Diethoxyethane ",-0.43,-0.899,CCOC(C)OCC,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97F140>,8.828427124746192,4.0,21.904302963408277,0,0,2,0,2,0,0,0,0,358.0,4.181818181818182,16.272727272727273,7.545682909090913,169.1143562038403,24.0,-2.0,-45.0,-33.0,-16.0,16.0,12.0,9.0,-0.3553719008264461,-3.826446280991736,-3.7851239669421486,-0.1487603305785125,0.818181818181818,1.3388429752066116,0.6694214876033058,3.0,3.0,-30.0,-75.0,-66.0,37.0,12.0,36.0,-219.9866472184262,-161.75499769153186,308.3758271776575,-489.45209405394496,-279.01065041174047,138.45223676146364,-6.990828279020576,218.08056035915348,0.0278266115702492,-1.2307109421487556,-0.4442635041322301,-0.4559162314049598,0.4011138181818133,0.2174911735537162,0.1727535867768578,-1.7597950374016555,-10.924615675681888,-6.443666742106686,13.931609161156793,-1.7444267353534513,0.9690831692217584,-1.642375071865465,3.639238126488916,0.0789473684210526,44.75332666876268,1.086651344512991,1.4818079927743093,1.14375,0.8651315789473689,0.9872344201224296,3.025752007215498,2.919612641438553,0,20.24518226420539,0.0,0,0,6,0,0,0,1.0,0.0,3,0,1,0,0,0,0,0,0,0,2,0.0,0.0,-0.0370370370370374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0,1.2406705316766884,1.6386199635932095,2.820811655044088,-1.32901139470886,0.0,0.0,0.0,0.0,0.0,20.771211599071872,13.213763929025836,0.0,0.0,6.290026729335213,0.0,0.0,13.213763929025836,0.0,0.0,9.473725907600098,0.0,0.0,0.0,0.0,6.290026729335213,0.0,13.213763929025836,0.0,0.0,20.771211599071872,0.0,10.12,0.0,0.0,0.0,1.3565055735834153,0.648182301550261,0,0,0,0,0,0,0,0,4,0
"1,2,3,4-Tetrachlorobenzene",-4.57,-4.546,Clc1ccc(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97F1B0>,12.250296206660073,4.6360270294650086,31.02024514324735,6,0,4,0,0,0,0,4,0,1374.0,7.034979423868312,114.5,8.915210333333333,150.26992932134152,1.370370370370362,-15.01440329218108,-8.601851851851848,-0.9218106995884688,7.231481481481486,0.0,0.0,0.0,-4.833333333333332,-2.416666666666667,-6.661338147750939e-16,2.083333333333333,0.0,0.0,0.0,2.8421709430404014e-14,-48.16666666666666,61.25,-170.66666666666669,-61.250000000000014,0.0,0.0,0.0,6.394884621840903e-14,-21.148926253219688,84.33636178357258,-189.82164982036505,-84.33636178357263,0.0,0.0,0.0,2.775557561562892e-17,0.1181949999999999,-0.5197926666666667,-0.1181949999999999,0.0,0.0,0.0,-3.469446951953614e-18,1.3877787807814455e-14,-5.51579039280148,-2.6252535160777537,2.62525351607774,0.0,0.0,0.0,-2.6759259259259256,35.161762678930785,0.9635122922412488,1.0671280690072251,0.5592155369383092,0.4929245283018869,0.7727936668019877,3.255814361214218,2.515835979311492,0,311.00922178581976,27.716187593289007,0,0,0,0,0,0,0.0,0.2222222222222222,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4294444444444463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,1.4591479170272446,1.9182958340544896,1.6666666666666663,-4.565661576512394,0.0,0.0,0.0,0.0,46.40375956093006,12.13273413692322,0.0,20.090533254965305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.090533254965305,0.0,0.0,0.0,20.090533254965305,0.0,0.0,12.13273413692322,0.0,0.0,0.0,0.0,0.0,0.0,1.2248277668374132,8.019399494796687e-06,0,0,0,0,0,0,0,0,0,0
"1,2,3,4-Tetrahydronapthalene",-4.37,-3.447,C1CCc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x0000011F0D97F220>,13.683238505927562,4.605551275463989,36.76857029015852,6,0,0,0,0,0,0,0,0,372.0,3.8181818181818175,16.90909090909091,7.092124000000002,158.49797205413583,15.16528925619835,-2.3305785123966904,-19.7603305785124,-30.64462809917356,-1.8842975206611572,8.793388429752065,6.479338842975206,0.0,-1.504132231404958,-5.223140495867768,-5.305785123966942,1.0082644628099169,2.0826446280991733,1.190082644628099,0.0,7.438016528925605,-23.96694214876035,-19.214876033057852,-69.00826446280992,-8.884297520661143,24.793388429752078,20.661157024793397,0.0,66.98005689100813,-215.82462775991627,-173.03181363510507,-621.4260833776888,-80.00395684203764,223.26685630336144,186.0557135861345,0.0,0.0070560000000011,-0.0182279999999997,-0.0654640000000002,-0.008428000000001,0.023519999999999,0.0195999999999996,0.0,0.2994320186327662,1.626519477555028,-5.241007205455281,-4.201841983683946,-1.942787153746298,5.421731591850277,4.518109659875214,0.0,-0.5706414797323893,55.81671407584033,1.35543289796256,0.9561942253937852,1.0043478260869565,1.0043478260869565,1.837433407194492,3.178641208010007,1.9253677344386608,0,126.22506818277238,137.53787455919982,0,2,0,4,0,0,0.4,0.2357022603955158,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.155092592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.9940302114769564,2.3685225277282065,2.090909090909091,-2.865086620019952,0.0,0.0,0.0,0.0,24.26546827384644,36.81018947509803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68328649170404,11.126902983393991,0.0,24.26546827384644,0.0,3.155092592592593,0.0,0.0,2.0658424477801383,0.4034703087233979,0,0,0,0,0,1,0,1,0,0
